lat,lng,时间,地点,寺庙（可无）,人物,事件
28.694452,114.799599,1329,（江西奉新县西北）百丈山,大智寿圣禅寺,东阳德辉禅师,主持、修寺
30.84979,120.41847,1311,浙江湖州乌回寺（无）,null,笑隐禅师（大沂）,结庵
30.22139851,120.160689,1320,杭州凤凰山大报国寺,null,笑隐禅师（大沂）,结庵
32.003471,118.775558,1328,,大龙翔集庆寺,笑隐禅师（大沂）,主持
32.065086,118.850975,1372,钟山,null,明太祖,斋会
30.379801,119.765167,1280,,径山,云峰禅师,主持
40.22077,116.23128,1288,集江南禅教朝觐廷辩,null,妙高禅师,游访
29.072042,120.82299,1290,,天台寒岩寺,东屿德海禅师,主持
31.310209,120.568291,1305,,姑苏寒山寺,东屿德海禅师,结庵
29.16942,121.047119,1274,,天台山国清寺,古林禅师,出家
31.285793,120.502556,1298,,江苏天平山白云寺,古林禅师,主持
30.379801,119.765167,1297,,径山,了庵禅师,出家
29.577591,121.606583,1342,,瑞云山清凉寺,松隐禅师,主持
32.043243,118.826523,1241,,金陵半山报宁禅寺,普度禅师,游访
30.240852,120.101379,1260—1264,,杭州中天竺不久义迁灵隐寺,普度禅师,主持
30.379801,119.765167,1277,径山,临济巨刹,普度禅师,主持、修寺
29.96158,121.725952,1326,,宁波观音院,孚中怀信禅师,主持
30.005629,122.393578,1329,,普陀山,孚中怀信禅师,结庵
30.379801,119.765167,1293,径山,兴圣万寿禅寺,虎岩禅师,主持
31.774359,119.969856,1295,,江苏常州碧云寺（无）,月江禅师,主持
32.21526,119.416077,1322,镇江金山寺,水陆大法会,月江禅师,游访
29.846893,121.743446,1333,宁波阿育王山广利禅寺,null,月江禅师,主持
30.379801,119.765167,1342,径山,null,昙芳禅师,主持
27.641283,114.348701,1269,袁州（江西宜春）仰山,null,雪岩禅师,主持
30.379801,119.765167,1316,杭州径山兴圣万寿禅寺,null,虚谷希陵禅师,主持
36.01130319,102.0292709,,,夏琼寺,,
35.85133699,102.4871366,,,文都寺,,
